,vn_kv,load_p_mw,max_gen_p_mw,min_gen_p_mw,price_1,price_2,x_pos,y_pos
164,225.0,,500.0,26.0,17.830036094590106,0.1540091620904983,23.8149050655,-20.9030906363
165,225.0,,,,,,33.8250642332,-10.6544539065
166,380.0,,,,,,29.844023377,-10.0018335683
167,380.0,,,,,,29.6487449953,-10.1900111239
168,225.0,,,,,,14.2681762599,-21.1531180854
169,225.0,61.8,,,,,19.8951666522,-23.5569668751
170,225.0,,,,,,29.5714000509,-18.325209878
171,225.0,9.8,,,,,15.6357868793,-22.3073163412
172,20.0,,,,,,22.8686154605,-10.788016057
173,225.0,88.2,,,,,22.6949827813,-9.9096252795
174,380.0,,,,,,23.4059144088,-10.4045774318
175,225.0,23.8,,,,,16.0508202321,-8.2929882101
176,63.0,18.2,,,,,24.6595641307,-6.751051424
177,63.0,0.4,,,,,25.3108125815,-0.5108131435
178,63.0,18.7,,,,,20.9621292692,-1.917864595
179,63.0,19.2,,,,,27.3097637899,1.4740902765
180,63.0,4.0,,,,,35.6928713731,-13.1345932679
181,63.0,,500.0,3.6,18.503276397749957,0.3675139600027441,31.5138170734,8.7071982744
182,225.0,2.8,,,,,14.6851777881,-16.8121595335
183,63.0,,,,,,34.5194021971,0.5390047756
184,225.0,68.7,,,,,16.5469663801,-5.0523736523
185,225.0,70.9,,,,,29.6869136002,-17.6010067544
186,63.0,35.7,,,,,26.7667093619,1.5149698571
187,225.0,66.9,,,,,14.9144281128,-14.7666065003
188,63.0,10.2,,,,,34.6150566991,-4.3687703828
189,63.0,22.5,,,,,22.1414164515,-2.2408462125
190,63.0,3.1,,,,,34.6080026755,-8.6458608916
191,225.0,103.9,,,,,24.3338219553,-22.5210924685
192,63.0,,,,,,19.5143170531,-1.4523010136
193,225.0,46.9,,,,,27.80570061,-15.2110255135
194,380.0,,,,,,27.1956951102,-14.7086082941
195,225.0,83.4,,,,,11.0294247258,-10.3046938073
196,20.0,,,,,,32.513421457,-1.6198034167
197,63.0,,,,,,33.8395974756,-0.5747081929
198,225.0,,,,,,32.5178163579,-0.6864672204
199,380.0,,,,,,29.8663734161,-2.8367603798
200,225.0,,,,,,22.4250072459,-10.2049756477
201,45.0,,,,,,38.537785509,-9.3537168901
202,63.0,,,,,,31.818373245,-9.6846189471
203,225.0,,,,,,30.285681471,-9.1404012524
204,225.0,,500.0,4.68,17.752448939943626,0.1966494559390575,32.3150030093,-3.8703144263
205,63.0,12.8,,,,,20.4331760433,-0.9914084658
206,225.0,,,,,,16.0870972131,-8.7392237537
207,380.0,,,,,,18.0699649269,-9.6149544672
208,380.0,,,,,,18.1505678303,-9.3934721282
209,380.0,,,,,,18.0470781931,-8.9249269042
210,380.0,,,,,,17.8900335975,-9.4476453779
211,225.0,,,,,,27.9909317427,-16.2031929965
212,225.0,,,,,,27.7820016024,-16.2813809961
213,380.0,,,,,,27.0711484356,-15.0544130592
214,225.0,8.4,,,,,19.4508995716,-21.0839771396
215,63.0,34.1,,,,,36.0985226538,0.6871419435
216,225.0,29.2,,,,,33.9608559469,1.1660150384
217,380.0,11.4,,,,,25.2671732154,-13.4588398341
218,63.0,,,,,,30.5068427747,-10.3226475667
219,63.0,,,,,,30.4220110615,-10.4334578179
220,225.0,,,,,,29.3648522717,-9.9118357078
221,380.0,,,,,,28.1980433906,-9.7473677108
222,63.0,3.7,,,,,25.9468980522,-3.6837655905
223,225.0,,,,,,26.0268083617,-4.9643997787
224,225.0,152.4,,,,,18.6268276252,-10.6027019285
225,225.0,29.9,,,,,31.3453131782,-11.1684538661
226,225.0,35.0,,,,,31.1490393688,-11.345243506
227,225.0,24.1,,,,,16.0759646273,-15.9482180825
228,225.0,,,,,,18.8048100208,-8.3467012257
229,225.0,,,,,,18.9163028355,-8.0392246183
230,225.0,36.8,,,,,14.2497631704,-7.2130805322
231,225.0,20.4,,,,,17.1006564669,-17.550767124
232,63.0,,,,,,23.9507983188,-3.9891540764
233,225.0,,,,,,24.4463779913,-5.1914283672
234,63.0,6.2,,,,,21.4915366053,2.6167642925
235,63.0,9.6,,,,,19.1304888099,-5.0837397519
236,63.0,25.7,,,,,32.7191948364,-5.2485291286
237,63.0,,,,,,19.3004185772,-4.2726261171
238,225.0,26.5,,,,,13.0003285007,-6.2637846363
239,225.0,,,,,,28.6760946487,-3.2097459792
240,225.0,,,,,,29.0840214293,-1.4896251804
241,225.0,,,,,,28.1061536338,-3.7646716822
242,380.0,,,,,,27.7125557382,-4.4485549772
243,63.0,1.5,,,,,30.8463034884,-9.3082425813
244,225.0,101.10000000000001,,,,,22.1763504559,-23.6360930472
245,225.0,,,,,,18.0213157207,-9.1624149736
246,380.0,,,,,,19.131662907,-9.2481318559
247,225.0,17.3,,,,,26.3455456447,-15.5080964736
248,63.0,,500.0,1.22,10.366643064210855,0.3815856029739198,34.5416349693,7.8685914859
249,63.0,21.6,,,,,18.5837139073,-4.735161033
250,225.0,,,,,,20.27767485,-5.5209501411
251,225.0,,,,,,8.8335473073,-11.7451615616
252,225.0,,,,,,8.7365782244,-11.1101355049
253,225.0,,,,,,8.7130700735,-10.793361938
254,225.0,60.6,,,,,9.9275474739,-11.2819821643
255,20.0,,500.0,9.0,11.16693735132895,0.3513113997479825,36.5212336602,-8.7256141976
256,225.0,,,,,,34.8487460018,-8.7420213234
257,225.0,6.2,,,,,31.4171185485,-13.4144965642
258,20.0,,,,,,21.2807596729,-9.6012586084
259,225.0,,,,,,20.2673941796,-8.4627016532
260,380.0,,,,,,22.5526428016,-9.5916965502
261,225.0,,500.0,1.66,17.51280699487701,0.2379729342618654,34.3688616224,-12.2753957364
262,63.0,11.4,,,,,37.278328106,-4.1764634556
263,63.0,9.0,,,,,35.5891863726,-4.1861021745
264,150.0,,,,,,35.9484857215,-4.7107029509
265,225.0,1.2,,,,,24.1158378972,-18.5576396788
266,225.0,37.3,,,,,24.3433998949,-18.6221063263
267,63.0,,500.0,1.46,12.392182161996097,0.1180536215686739,33.2980154652,-8.3988390253
268,63.0,26.3,500.0,3.0,12.548060139421468,0.4997662839391399,33.6819737145,-1.3704629559
269,63.0,13.4,,,,,17.1599417195,-2.602849019
270,225.0,34.2,,,,,22.4153112853,-21.6986282572
271,380.0,,239.0,0.0,,,22.3965441532,-8.8053699668
272,63.0,9.9,,,,,25.3887978753,-9.9122718524
273,63.0,29.3,,,,,22.6586795837,-3.3074410713
274,225.0,94.10000000000001,,,,,14.3641676953,-6.9873890306
275,63.0,31.6,,,,,29.4063373728,2.3464260927
276,225.0,20.3,,,,,32.0283891948,-19.9451323271
277,380.0,,,,,,26.6691584391,-10.3628491051
278,380.0,,,,,,26.8704819611,-9.8340005355
279,380.0,,,,,,26.7852052287,-10.3672990878
280,380.0,,,,,,26.7528292294,-9.7945455911
281,225.0,6.0,,,,,28.1686545486,-21.227142176
282,63.0,17.4,,,,,33.0189711359,-7.5401454628
283,63.0,9.4,,,,,24.4570036238,-11.4049121879
284,225.0,4.2,,,,,35.202491841,-15.6607422837
285,225.0,62.1,,,,,12.063472782,-15.0261424096
286,45.0,5.5,500.0,2.2,18.576255311697626,0.3570108966509023,39.787266614,-11.2426844434
287,380.0,,,,,,22.5043004135,-11.7490385593
288,380.0,,,,,,22.3926310811,-11.673422758
289,63.0,8.3,,,,,22.2424265227,-2.822022794
290,225.0,,,,,,20.4639477347,-25.0041455642
291,225.0,,,,,,25.2515055588,-4.4810525052
292,225.0,,,,,,25.5843143288,-4.489637255
293,225.0,19.3,,,,,19.6623530718,-21.1759104435
294,20.0,,500.0,7.4,19.497790261143027,0.1028087513105308,34.4929898964,-2.8732931599
295,20.0,,,,,,29.0349383064,-6.9134537419
296,20.0,,,,,,28.8357024102,-7.3070883678
297,225.0,,,,,,32.9519830215,-3.8633759035
298,225.0,,,,,,27.7562623081,-7.7630706179
299,225.0,50.0,,,,,13.030367717,-11.2975190579
300,45.0,13.9,500.0,0.0,15.61686858011158,0.3989518645019007,37.1909868619,-10.7057672279
301,20.0,19.0,,,,,15.1853600327,-10.1145101719
302,20.0,17.5,,,,,15.2402832168,-10.413597723
303,20.0,10.8,,,,,15.3475831,-10.7801250504
304,225.0,134.0,,,,,16.36035799,-10.1965213045
305,63.0,15.2,,,,,30.2807292084,-0.2954772591
306,225.0,,,,,,29.8914146091,-2.3100309432
307,225.0,,,,,,17.991807367,-10.8018334998
308,63.0,15.8,,,,,33.137546598,-6.3104138125
309,63.0,28.5,,,,,33.7269400627,4.6292917232
310,225.0,59.2,,,,,26.3151765079,-19.9033518733
311,63.0,,500.0,7.8,11.787805198499765,0.2533391505948996,38.2181746265,-4.3831576269
312,225.0,40.2,,,,,21.3861491805,-17.5568375973
313,225.0,15.7,,,,,35.1492594659,-15.7961442307
314,63.0,,500.0,1.34,17.702519331384003,0.1176626136390321,36.1832086586,-5.1269596062
315,63.0,,500.0,5.32,14.923810396145496,0.1851587593707527,36.6954945562,-3.9223132953
316,63.0,9.7,,,,,17.7238330548,-5.8109509109
317,63.0,11.5,,,,,23.6646175166,-5.5022979232
318,225.0,15.4,,,,,31.9171830589,1.6048867221
319,380.0,,,,,,30.4226224732,-1.1912653001
320,63.0,32.8,,,,,24.6425578619,-1.3928677248
321,225.0,54.5,,,,,21.1150332214,-17.5620365199
322,225.0,,500.0,4.7,16.312530655635452,0.4597642839858723,19.0021180479,-22.624324471
323,225.0,,,,,,19.6829731883,-21.4707799362
324,63.0,,500.0,1.2,18.394979229137057,0.1789874372484393,32.9302050196,-8.3618973105
325,63.0,,500.0,1.2,14.610393962924308,0.1364569985699366,34.8881825002,-9.3674218104
326,225.0,158.8,,,,,11.1922297855,-12.769667219
327,20.0,,,,,,37.5766184934,-7.8651514434
328,20.0,,,,,,37.4967351637,-6.7891760992
329,20.0,,,,,,37.571270547,-7.3354763928
330,63.0,76.7,,,,,36.0917659765,-7.626198771
331,225.0,33.8,,,,,31.582078942,-16.4000093084
332,225.0,67.1,,,,,27.6313129063,-2.7360526664
333,225.0,19.6,,,,,28.0340596649,-1.2260325968
334,20.0,,500.0,3.8,14.979400733073051,0.1841838329190757,32.5846413891,-3.7633711593
335,20.0,,500.0,1.6,16.794111175532507,0.4972140875719245,32.7423649199,-3.9827234429
336,63.0,,,,,,31.5101736227,-4.2395379336
337,63.0,,,,,,31.4132613818,-4.3617658663
338,225.0,,,,,,27.1419260918,-8.2159117923
339,225.0,,,,,,30.3652493487,-5.2416757094
340,380.0,,,,,,26.9604536288,-8.2521584884
341,63.0,39.3,,,,,32.9234991205,-10.0378335939
342,63.0,7.2,,,,,25.3445719494,-11.6069483555
343,380.0,55.3,,,,,27.4917421651,-12.2248316833
344,20.0,,500.0,6.2,16.5078591412333,0.3517762287036634,28.7990627679,-7.0042332162
345,20.0,,500.0,6.2,12.68795238744354,0.3268045815662786,34.3927093776,-2.724500853
346,20.0,,500.0,6.2,10.673246669390178,0.3162564456601503,28.9974662207,-7.21297676
347,225.0,,,,,,32.776410904,-3.5573954886
348,225.0,,,,,,27.6743967069,-7.8945083135
349,63.0,8.3,,,,,18.7762260084,-5.0793396258
350,225.0,62.0,,,,,25.9467153482,1.2762234615
351,225.0,1.1,,,,,26.4786954947,1.3419526855
352,63.0,0.0,,,,,30.1374588699,2.0339931056
353,225.0,9.6,,,,,26.7942528184,-4.0146789866
354,63.0,11.1,,,,,30.9887660552,-0.9433128589
355,63.0,,500.0,1.0,17.714451383585626,0.4429258079526134,22.6239485071,-1.0063211875
356,63.0,,500.0,1.0,14.80984132299646,0.3135209816322039,22.9826101918,-1.0814275386
357,225.0,50.9,,,,,13.973779267,-18.0066583923
358,225.0,13.1,,,,,29.9607627923,-2.6157566674
359,225.0,22.3,,,,,27.8688176875,-2.8931613341
360,150.0,1.5,,,,,29.4318133789,-22.7571374968
361,63.0,0.0,,,,,25.6660503276,-0.6802519911
362,63.0,1.6,500.0,1.4,13.292064077336468,0.3663021243881221,17.6212249461,-6.1275465863
363,225.0,,,,,,12.5408144698,-10.8049628136
364,380.0,,,,,,13.8116037594,-10.3822603063
365,63.0,,500.0,5.4,15.106410561751517,0.4206943998848101,21.482842496,-6.2886471064
366,45.0,,500.0,4.0,12.636288286600568,0.4807437545269738,38.5629178047,-8.5310945015
367,63.0,1.2,,,,,25.7721682092,1.566222488
368,63.0,,,,,,16.860657922,-1.9010685859
369,63.0,,,,,,29.4922120379,-2.6926757191
370,63.0,11.8,,,,,35.1620467371,1.994679554
371,63.0,20.8,,,,,34.6513024726,2.4284398046
372,63.0,17.6,,,,,35.3717340844,1.7299640451
373,225.0,94.8,,,,,16.7781576066,-5.96064906
374,380.0,,,,,,17.5109638017,-7.3213290188
375,225.0,42.0,,,,,26.7799818931,-18.9175608715
376,380.0,,,,,,26.2760728243,-17.6745817672
377,225.0,19.1,,,,,13.263044278,-21.8963150765
378,225.0,21.8,,,,,20.5248330922,-22.3768087649
379,225.0,17.2,,,,,25.2001281494,-13.7129873531
380,225.0,,,,,,25.3447260396,-13.9156601962
381,63.0,8.1,500.0,2.8,13.105115500462974,0.1151678189232253,15.5777830437,-2.7893989064
382,63.0,,500.0,2.8,16.2685343771635,0.2077842305941923,16.2110513338,-1.8939083016
383,63.0,,,,,,36.0314602732,4.0579653125
384,63.0,29.3,,,,,31.1218231411,1.7099052179
385,63.0,22.9,,,,,27.2504108087,1.6402897693
386,63.0,17.9,,,,,26.6920915513,1.7377677926
387,63.0,35.4,,,,,26.6457360149,-0.5275116749
388,63.0,16.2,,,,,30.1033408153,3.5849026804
389,63.0,20.6,,,,,30.6019942264,3.373395705
390,225.0,0.7,,,,,15.0871446626,-13.7408826764
391,225.0,,,,,,15.5700928858,-15.2645396269
392,225.0,,,,,,21.2378611903,-18.316815574
393,225.0,89.4,,,,,21.0437842356,-17.9320038929
394,225.0,40.6,,,,,14.7210231745,-13.8176874476
395,225.0,33.0,,,,,13.4393506189,-14.9353382343
396,20.0,5.7,500.0,2.6,15.574498105722824,0.4063838032613085,29.3531073474,4.7647785329
397,150.0,,,,,,29.8901026759,3.2452304582
398,63.0,25.6,,,,,18.6071089387,-4.3888855588
399,380.0,9.4,,,,,27.6247563599,-16.6584658748
400,380.0,25.4,,,,,27.2292899431,-16.575623337
401,380.0,12.5,,,,,28.3167623819,-15.0684801778
402,380.0,,,,,,28.1653697162,-15.1877855601
403,225.0,47.2,,,,,22.5038959484,-18.8527473042
404,63.0,,,,,,21.7171355941,2.6243059816
405,63.0,21.4,,,,,26.1703576039,-2.6487485888
406,63.0,16.2,,,,,32.0065113415,1.1480182602
407,63.0,7.9,,,,,23.8447405661,1.3258241914
408,20.0,,,,,,18.914377638,-3.8366044481
409,20.0,,,,,,18.6897494374,-4.1780053912
410,225.0,,,,,,18.3182966916,-3.5777701669
411,225.0,,,,,,18.1676931779,-3.9246016143
412,380.0,,,,,,21.023344135,-6.2795905914
413,225.0,32.1,,,,,30.9680054386,-4.9068241374
414,63.0,,,,,,33.0743392674,-10.9257799684
415,380.0,81.7,,,,,24.9797707707,-13.546115429
416,63.0,11.4,,,,,15.7068438265,-8.2431821079
417,63.0,20.0,,,,,19.8415731328,-3.9556424312
418,20.0,,,,,,18.9795300903,-17.2847157388
419,20.0,,,,,,18.927826154,-17.1009460417
420,20.0,,,,,,18.8521010026,-17.1170773557
421,20.0,,,,,,19.0158861934,-17.1902070322
422,225.0,,,,,,18.1370403544,-17.4649255413
423,225.0,,,,,,18.6140230942,-17.6967689278
424,225.0,3.4,,,,,18.7057736548,-17.7941062786
425,225.0,4.8,,,,,18.7962933845,-17.8439658766
426,380.0,,,,,,20.5738785911,-15.6124618486
427,380.0,,,,,,20.5504282266,-15.6588017906
428,225.0,78.5,,,,,25.9484760454,-14.5744448982
429,380.0,96.4,,,,,28.4949652366,-12.7699114422
430,63.0,16.4,,,,,29.7818127476,0.0578295929
431,225.0,89.4,,,,,12.5851712137,-10.0291498656
432,225.0,29.3,,,,,28.7452315552,-4.6893876793
433,63.0,,,,,,27.7668930976,-8.6409613218
434,380.0,,,,,,27.6365296888,-9.4137527506
435,380.0,,,,,,27.2867828406,-8.8121953455
436,225.0,196.9,,,,,19.0963852737,-11.3838695232
437,380.0,,,,,,20.1829006032,-11.1782098438
438,380.0,,,,,,20.199819672,-11.2874381514
439,20.0,49.6,500.0,10.0,13.18579559579802,0.3310788335892701,33.0793427801,-18.8296007133
440,225.0,,,,,,32.6258195602,-17.6550629434
441,225.0,151.70000000000002,,,,,27.9129968408,-11.7408719979
442,63.0,0.2,,,,,33.290553198,-9.7614850072
443,63.0,,500.0,1.6,13.948432208584274,0.2477933835005585,33.2916721682,-9.2060219386
444,380.0,152.6,,,,,17.6287327654,-11.3102640911
445,225.0,,,,,,32.8825513747,-15.7408317825
446,63.0,,,,,,24.012624202,-11.0222265116
447,63.0,7.0,,,,,33.71968021,-11.5685830904
448,225.0,0.9,,,,,15.5136709241,-20.5548145205
449,225.0,25.5,,,,,25.9014089856,-18.4497374643
450,63.0,8.5,,,,,24.6278192208,-10.3832716501
451,20.0,,,,,,25.5415256885,-9.9937210759
452,63.0,,,,,,25.7310794306,-9.4868196075
453,225.0,,,,,,26.1000147834,-10.1430088243
454,380.0,,,,,,25.9096763184,-9.5356080818
455,63.0,0.3,,,,,28.8761299087,-9.6483807133
456,225.0,,,,,,17.4032530038,-8.3635464473
457,225.0,,,,,,19.4552704239,-8.805886489
458,150.0,,,,,,30.9603852155,5.4996772361
459,225.0,24.4,,,,,15.1655004979,-14.09413014
460,225.0,69.0,,,,,15.1651240116,-14.6647509666
461,225.0,24.8,,,,,32.0167296593,-12.1075173553
462,225.0,17.8,,,,,16.2281764676,-12.706446848
463,225.0,10.6,,,,,16.3754634457,-13.0069673652
464,225.0,54.6,,,,,18.0824119656,-15.2616575698
465,20.0,,,,,,22.9080091044,-13.7199290644
466,225.0,96.5,,,,,22.2987360458,-13.9074362938
467,380.0,,,,,,21.6747278204,-13.6840839496
468,380.0,,,,,,23.7444386712,-12.696346141
469,380.0,,,,,,24.3459536756,-12.9028807573
470,63.0,11.0,,,,,25.3074245004,-9.5432474887
471,380.0,,,,,,22.8861670407,-13.268166686
