,from_bus,to_bus
153,1057,709
154,1163,1312
155,1163,962
156,1163,1005
157,1163,1280
158,1163,633
159,232,60
160,411,60
161,192,62
162,192,60
163,117,557
164,117,557
165,1202,1101
166,1202,1101
167,913,717
168,717,662
169,717,233
170,717,1011
171,717,1036
172,1331,31
173,1018,31
174,90,783
175,90,783
176,248,80
177,248,80
178,248,1332
179,248,1332
180,1188,290
181,1188,1162
182,141,1182
183,141,1085
184,141,38
185,141,38
186,141,754
187,141,754
188,372,1219
189,1250,1294
190,899,1118
191,899,954
192,483,1180
193,483,1271
194,483,629
195,483,404
196,483,916
197,483,925
198,483,1097
199,483,423
200,483,998
201,179,681
202,109,1097
203,335,655
204,335,714
205,1341,906
206,1341,906
207,1341,835
208,1341,835
209,429,547
210,429,547
211,10,851
212,10,345
213,940,1318
214,940,865
215,940,865
216,183,414
217,928,621
218,928,532
219,255,409
220,255,45
221,255,950
222,255,283
223,255,858
224,255,578
225,255,534
226,1169,260
227,1169,1134
228,1169,950
229,1169,283
230,1169,858
231,1169,833
232,1169,534
233,691,22
234,469,343
235,910,1268
236,907,1334
237,818,1039
238,1208,656
239,1208,430
240,76,190
241,76,798
242,76,798
243,76,304
244,76,99
245,549,430
246,193,1062
247,193,322
248,193,1113
249,193,148
250,193,148
251,193,344
252,193,635
253,860,1237
254,860,873
255,860,1168
256,860,594
257,860,492
258,860,710
259,1194,714
260,891,915
261,608,943
262,608,319
263,846,304
264,846,102
265,339,1346
266,339,503
267,29,709
268,29,1132
269,478,971
270,478,84
271,478,84
272,478,666
273,478,240
274,478,513
275,698,1165
276,698,941
277,698,1120
278,698,51
279,698,412
280,698,376
281,698,376
282,698,444
283,840,134
284,840,664
285,783,394
286,783,394
287,346,733
288,346,762
289,298,710
290,636,815
291,842,1251
292,1135,755
293,1051,714
294,660,575
295,996,395
296,996,684
297,996,654
298,996,1093
299,745,5
300,745,1349
301,886,1311
302,886,903
303,886,116
304,886,848
305,1285,1121
306,1285,1311
307,1285,874
308,1285,932
309,1285,1123
310,367,621
311,603,923
312,603,621
313,603,718
314,603,1141
315,407,1141
316,367,1313
317,367,326
318,82,571
319,82,1230
320,82,1230
321,521,1311
322,521,1311
323,915,7
324,915,1107
325,869,1274
326,472,1233
327,136,1233
328,1268,205
329,957,1320
330,1328,1320
331,1013,923
332,1013,1276
333,750,655
334,1086,769
335,1086,1187
336,65,911
337,65,333
338,65,550
339,741,630
340,277,801
341,277,801
342,812,739
343,812,739
344,812,739
345,812,805
346,812,1131
347,812,1002
348,459,686
349,69,1223
350,69,328
351,69,1151
352,653,271
353,419,555
354,415,148
355,415,1195
356,1329,1342
357,1329,202
358,1329,1233
359,1329,1233
360,1329,748
361,1329,145
362,1329,197
363,1329,229
364,894,999
365,1116,447
366,1071,1033
367,701,1195
368,242,787
369,586,787
370,960,787
371,542,787
372,400,787
373,268,787
374,655,881
375,317,768
376,317,421
377,144,523
378,614,116
379,678,116
380,245,856
381,1175,211
382,836,815
383,669,1251
384,1271,1097
385,341,931
386,57,1129
387,57,581
388,57,41
389,57,1009
390,1191,550
391,795,1125
392,795,284
393,795,640
394,378,987
395,378,1102
396,378,1102
397,378,1102
398,378,1166
399,378,1052
400,378,223
401,1312,164
402,1256,813
403,462,1288
404,227,133
405,477,495
406,531,80
407,531,733
408,51,517
409,51,1155
410,488,181
411,488,262
412,1077,46
413,644,313
414,644,313
415,644,822
416,923,263
417,923,263
418,923,1141
419,1345,1064
420,1345,606
421,1248,334
422,123,935
423,1021,935
424,637,946
425,1067,946
426,861,502
427,861,567
428,560,1267
429,119,953
430,427,1176
431,427,1176
432,943,319
433,943,779
434,943,75
435,943,75
436,672,1266
437,672,1028
438,987,856
439,553,3
440,758,1122
441,189,1122
442,1217,1110
443,1217,158
444,1217,456
445,1217,39
446,1217,39
447,1217,1090
448,699,308
449,1089,908
450,1089,225
451,1130,240
452,871,513
453,401,240
454,132,513
455,1297,125
456,1297,730
457,388,1326
458,388,1045
459,524,1326
460,524,1045
461,259,1334
462,259,1334
463,832,138
464,832,1334
465,152,423
466,1079,395
467,1079,713
468,529,778
469,529,578
470,348,139
471,348,833
472,46,166
473,46,1347
474,46,1262
475,266,543
476,266,543
477,266,599
478,266,267
479,266,325
480,790,362
481,790,362
482,885,1283
483,885,134
484,1108,263
485,1108,423
486,5,954
487,5,365
488,5,690
489,5,639
490,5,759
491,5,759
492,1118,365
493,1118,312
494,1118,1349
495,1118,1349
496,1118,639
497,1118,523
498,1118,523
499,275,589
500,13,589
501,1125,566
502,1125,566
503,1125,566
504,738,1305
505,738,1183
506,889,1148
507,889,682
508,889,682
509,1152,557
510,1152,1101
511,1152,1101
512,1152,628
513,1152,628
514,1152,449
515,258,21
516,643,354
517,558,776
518,95,1204
519,95,114
520,95,437
521,520,1164
522,520,322
523,520,1113
524,520,639
525,520,759
526,520,523
527,1064,606
528,446,145
529,392,508
530,1333,293
531,914,963
532,719,556
533,794,397
534,460,692
535,460,654
536,460,775
537,460,800
538,460,936
539,460,1221
540,902,395
541,902,1093
542,902,936
543,318,692
544,318,684
545,318,936
546,305,1352
547,305,1352
548,305,1352
549,305,615
550,305,512
551,305,540
552,305,402
553,305,402
554,305,1220
555,305,159
556,305,4
557,1283,134
558,1283,736
559,1283,661
560,1283,966
561,1283,165
562,1283,1046
563,434,413
564,434,413
565,434,1096
566,434,1096
567,434,238
568,434,108
569,1346,981
570,1346,503
571,1346,1032
572,1346,561
573,1346,559
574,1346,1092
575,1346,1092
576,1346,1092
577,1346,351
578,406,1232
579,406,30
580,56,312
581,1257,1011
582,1257,1011
583,1257,168
584,1257,661
585,1257,1264
586,359,1266
587,382,1266
588,737,980
589,737,980
590,692,131
591,692,131
592,692,1207
593,692,1207
594,692,1207
595,235,944
596,235,944
597,235,1310
598,658,714
599,808,130
600,1153,130
601,61,130
602,441,130
603,685,924
604,685,924
605,991,231
606,554,780
607,900,780
608,1309,892
609,270,867
610,270,841
611,432,854
612,432,1036
613,380,555
614,380,313
615,375,1102
616,1279,158
617,1078,492
618,182,664
619,182,286
620,1173,1043
621,1007,809
622,1007,184
623,1210,702
624,1303,1039
625,1303,999
626,632,1019
627,632,908
628,1150,502
629,1150,205
630,1150,205
631,1150,14
632,827,649
633,827,256
634,827,557
635,827,572
636,827,545
637,827,213
638,827,945
639,827,541
640,134,627
641,134,288
642,134,63
643,134,536
644,134,573
645,134,829
646,134,829
647,134,966
648,134,1046
649,134,118
650,1083,780
651,1083,215
652,185,1011
653,185,1011
654,185,1011
655,185,1146
656,185,931
657,101,1050
658,101,280
659,101,986
660,101,457
661,776,909
662,551,580
663,551,580
664,551,430
665,551,430
666,551,166
667,551,1347
668,551,1262
669,934,786
670,934,599
671,172,191
672,172,6
673,1087,556
674,1087,12
675,1087,274
676,43,473
677,43,949
678,473,705
679,387,1148
680,387,313
681,630,1289
682,630,236
683,630,236
684,630,570
685,630,570
686,506,619
687,954,663
688,954,1042
689,954,552
690,954,810
691,954,639
692,954,639
693,954,1006
694,954,53
695,954,53
696,954,53
697,498,998
698,365,299
699,365,299
700,809,1258
701,809,1258
702,809,702
703,809,184
704,809,280
705,809,443
706,809,859
707,809,1136
708,809,457
709,679,26
710,1323,1076
711,1323,1337
712,1323,920
713,1148,466
714,1148,1239
715,1148,822
716,927,455
717,927,585
718,927,1272
719,927,1272
720,1137,684
721,1137,624
722,1137,497
723,816,349
724,816,199
725,816,414
726,816,356
727,816,1339
728,1232,140
729,1232,895
730,503,133
731,310,690
732,310,681
733,310,759
734,593,312
735,593,681
736,593,523
737,962,211
738,703,857
739,703,70
740,703,1189
741,703,1189
742,703,448
743,703,1160
744,703,875
745,703,1272
746,677,988
747,297,202
748,967,263
749,922,263
750,62,417
751,739,1351
752,739,1351
753,739,302
754,739,805
755,739,1176
756,739,1176
757,1158,88
758,1158,714
759,1158,273
760,1158,811
761,752,362
762,340,1047
763,1343,26
764,1343,467
765,37,682
766,1311,972
767,1216,566
768,1216,566
769,740,435
770,740,21
771,93,1231
772,1005,730
773,54,709
774,206,939
775,206,397
776,539,705
777,180,936
778,151,936
779,843,936
780,577,936
781,201,522
782,683,522
783,458,80
784,458,80
785,744,681
786,744,1186
787,96,131
788,96,131
789,96,589
790,96,589
791,96,1207
792,96,428
793,566,25
794,566,327
795,588,622
796,849,1017
797,1243,1299
798,1243,362
799,316,811
800,316,1128
801,742,924
802,935,618
803,935,618
804,935,8
805,935,1056
806,935,364
807,780,1104
808,1159,332
809,230,1033
810,474,304
811,880,866
812,557,1227
813,557,1098
814,557,213
815,557,222
816,1011,571
817,973,371
818,973,371
819,973,347
820,973,347
821,973,572
822,973,545
823,973,1003
824,1182,754
825,1182,754
826,905,1046
827,1351,1261
828,1351,1287
829,1351,1252
830,1351,1045
831,867,1128
832,468,507
833,468,145
834,36,104
835,36,146
836,36,709
837,502,765
838,502,14
839,502,14
840,723,850
841,1100,946
842,1100,115
843,1294,1289
844,1294,674
845,1294,509
846,1294,509
847,1294,509
848,1294,946
849,1294,1267
850,1294,953
851,1181,970
852,147,970
853,1164,639
854,106,314
855,106,314
856,106,1094
857,106,975
858,331,982
859,331,98
860,482,148
861,482,872
862,482,1195
863,482,130
864,482,130
865,482,589
866,217,1075
867,217,994
868,217,1233
869,217,471
870,217,389
871,217,571
872,217,680
873,217,640
874,1245,7
875,1245,956
876,1245,956
877,1245,219
878,1245,638
879,1044,282
880,1044,814
881,1115,34
882,722,197
883,1020,1035
884,1020,492
885,178,21
886,1319,360
887,1289,570
888,863,825
889,863,1117
890,863,727
891,605,215
892,24,215
893,440,307
894,1253,126
895,1253,126
896,1253,546
897,1258,968
898,1024,3
899,1024,3
900,1024,221
901,1024,620
902,1024,1142
903,1024,803
904,825,837
905,974,803
906,772,1142
907,1129,581
908,911,509
909,507,47
910,438,1305
911,438,1305
912,1305,366
913,1305,1327
914,300,1095
915,300,1095
916,618,781
917,618,338
918,618,420
919,379,1081
920,1048,1300
921,788,1300
922,1178,1300
923,918,1300
924,177,1300
925,625,1340
926,625,1162
927,357,714
928,357,273
929,357,1275
930,357,760
931,357,1009
932,357,251
933,765,1244
934,765,23
935,765,1082
936,1072,868
937,1072,1091
938,1274,714
939,1274,714
940,1274,881
941,851,634
942,1231,287
943,196,287
944,424,311
945,735,1193
946,735,710
947,515,538
948,515,697
949,694,641
950,694,641
951,1037,801
952,1037,801
953,1192,845
954,1192,845
955,988,968
956,988,838
957,349,107
958,122,1325
959,616,1325
960,989,314
961,837,384
962,837,1104
963,837,1104
964,837,1104
965,837,237
966,91,87
967,526,87
968,924,354
969,924,354
970,924,864
971,924,864
972,924,864
973,1140,1350
974,442,205
975,755,838
976,439,864
977,801,315
978,801,1177
979,801,373
980,801,1033
981,801,1033
982,801,1033
983,801,562
984,801,817
985,801,850
986,1316,947
987,190,154
988,404,1196
989,404,1209
990,404,153
991,404,998
992,734,997
993,1124,1015
994,948,465
995,1259,35
996,1259,369
997,236,97
998,1215,904
999,597,197
1000,131,1062
1001,131,1062
1002,131,936
1003,131,936
1004,835,799
1005,835,1195
1006,835,1069
1007,835,1069
1008,835,1045
1009,820,49
1010,820,1105
1011,820,1105
1012,820,634
1013,1062,635
1014,215,591
1015,215,709
1016,215,709
1017,681,497
1018,681,497
1019,191,497
1020,556,393
1021,556,393
1022,556,393
1023,556,103
1024,556,725
1025,556,274
1026,1084,821
1027,1084,1022
1028,1084,868
1029,1084,1091
1030,720,421
1031,720,1025
1032,369,890
1033,11,272
1034,11,272
1035,314,489
1036,314,530
1037,314,990
1038,314,975
1039,314,1112
1040,1325,143
1041,360,895
1042,202,207
1043,202,1128
1044,1145,787
1045,1145,1015
1046,1008,494
1047,285,77
1048,933,181
1049,105,1015
1050,105,865
1051,1110,456
1052,59,220
1053,59,768
1054,59,99
1055,59,1302
1056,398,304
1057,398,324
1058,398,1025
1059,623,1144
1060,623,582
1061,254,1227
1062,254,1098
1063,254,1131
1064,254,1002
1065,254,130
1066,254,130
1067,581,671
1068,581,877
1069,581,1009
1070,113,238
1071,450,108
1072,715,238
1073,295,108
1074,584,238
1075,564,108
1076,92,87
1077,426,1033
1078,839,903
1079,763,802
1080,88,841
1081,574,129
1082,337,358
1083,26,443
1084,370,523
1085,370,497
1086,682,73
1087,682,484
1088,682,1070
1089,455,216
1090,455,216
1091,888,706
1092,496,952
1093,573,829
1094,573,964
1095,573,964
1096,188,118
1097,73,78
1098,518,221
1099,732,325
1100,1172,864
1101,785,864
1102,555,78
1103,555,1070
1104,857,751
1105,857,1103
1106,857,475
1107,857,516
1108,857,228
1109,70,777
1110,596,1340
1111,308,576
1112,308,904
1113,308,239
1114,308,908
1115,308,963
1116,308,1179
1117,749,55
1118,749,55
1119,1114,452
1120,1114,452
1121,475,342
1122,475,1260
1123,1174,1262
1124,385,1347
1125,626,1234
1126,74,1096
1127,74,607
1128,315,1317
1129,315,1317
1130,315,296
1131,315,87
1132,315,525
1133,315,706
1134,384,727
1135,1324,1320
1136,1014,824
1137,84,212
1138,84,395
1139,84,684
1140,84,234
1141,84,309
1142,533,319
1143,533,410
1144,544,1161
1145,544,366
1146,799,1045
1147,1035,303
1148,1035,1144
1149,1081,1094
1150,1081,975
1151,138,272
1152,711,494
1153,879,1006
1154,1251,1029
1155,1251,1029
1156,1251,417
1157,612,932
1158,612,848
1159,1068,366
1160,1068,1183
1161,1088,229
1162,1301,501
1163,263,925
1164,693,878
1165,249,532
1166,1119,582
1167,1344,968
1168,1211,1265
1169,1211,1223
1170,1211,1223
1171,831,959
1172,831,169
1173,831,1061
1174,831,1308
1175,831,1058
1176,517,970
1177,517,137
1178,517,1200
1179,289,949
1180,1334,94
1181,1096,320
1182,1102,591
1183,1102,1001
1184,371,897
1185,371,897
1186,210,548
1187,347,897
1188,347,897
1189,347,628
1190,347,187
1191,1203,23
1192,23,931
1193,781,1149
1194,781,68
1195,781,1281
1196,781,1281
1197,781,642
1198,583,272
1199,583,792
1200,1023,319
1201,1252,1045
1202,272,1128
1203,272,1128
1204,726,430
1205,631,430
1206,665,430
1207,302,872
1208,511,944
1209,598,1092
1210,774,267
1211,823,325
1212,303,1168
1213,80,919
1214,80,396
1215,80,1332
1216,49,634
1217,212,852
1218,71,952
1219,71,878
1220,252,1092
1221,489,1112
1222,156,27
1223,1234,1038
1224,1234,784
1225,1266,1028
1226,1266,1277
1227,1266,1000
1228,1266,1000
1229,1266,1293
1230,1266,1293
1231,1266,1228
1232,1265,1223
1233,31,980
1234,31,980
1235,31,167
1236,31,377
1237,31,1061
1238,1161,1183
1239,1161,1183
1240,1161,142
1241,1054,1138
1242,659,1298
1243,659,721
1244,403,168
1245,403,168
1246,186,912
1247,186,1015
1248,395,261
1249,395,497
1250,684,497
1251,704,848
1252,149,1200
1253,198,822
1254,646,688
1255,1026,729
1256,1026,563
1257,947,114
1258,1310,939
1259,999,876
1260,793,1168
1261,793,1168
1262,862,611
1263,1186,1206
1264,126,920
1265,126,920
1266,126,569
1267,126,602
1268,592,238
1269,982,163
1270,982,1109
1271,610,604
1272,231,200
1273,464,550
1274,768,324
1275,768,1327
1276,768,209
1277,405,1233
1278,926,1144
1279,926,587
1280,666,707
1281,666,513
1282,304,1027
1283,304,1027
1284,304,99
1285,304,99
1286,148,936
1287,148,936
1288,1075,471
1289,1075,52
1290,416,271
1291,194,356
1292,319,94
1293,538,414
1294,945,541
1295,1223,286
1296,1223,866
1297,847,881
1298,847,343
1299,383,1092
1300,160,351
1301,1104,856
1302,1104,481
1303,1117,856
1304,168,165
1305,994,748
1306,1199,1273
1307,1010,1273
1308,674,657
1309,1040,1132
1310,1000,306
1311,1000,609
1312,1000,1322
1313,1000,83
1314,951,1286
1315,1300,897
1316,1300,897
1317,1300,897
1318,1300,897
1319,1300,1229
1320,1300,1229
1321,239,676
1322,27,287
1323,425,824
1324,736,661
1325,736,41
1326,736,1004
1327,500,1123
1328,139,485
1329,139,361
1330,139,428
1331,778,1238
1332,778,929
1333,778,1207
1334,1041,828
1335,1041,352
1336,1041,352
1337,1041,352
1338,1041,1016
1339,7,219
1340,7,528
1341,903,702
1342,903,1209
1343,903,332
1344,1196,1222
1345,1196,802
1346,1196,1112
1347,990,1222
1348,990,116
1349,990,332
1350,600,1123
1351,150,158
1352,150,456
1353,1233,787
1354,1233,787
1355,1233,680
1356,1233,499
1357,127,789
1358,124,949
1359,961,664
1360,654,320
1361,1093,607
1362,949,1236
1363,949,1236
1364,949,241
1365,949,1330
1366,949,162
1367,60,537
1368,1222,143
1369,1222,18
1370,1222,645
1371,733,762
1372,779,1284
1373,1315,1
1374,1315,718
1375,908,789
1376,908,1092
1377,1293,240
1378,1293,513
1379,959,1138
1380,959,1138
1381,805,1176
1382,912,634
1383,1213,709
1384,1213,688
1385,42,1136
1386,363,1136
1387,771,1136
1388,321,1136
1389,1218,1195
1390,389,873
1391,169,844
1392,169,942
1393,345,1246
1394,345,1278
1395,345,641
1396,345,641
1397,345,641
1398,1276,753
1399,852,707
1400,852,121
1401,852,1206
1402,852,309
1403,978,1016
1404,1147,590
1405,969,590
1406,648,590
1407,786,828
1408,786,44
1409,786,977
1410,580,287
1411,580,287
1412,512,66
1413,804,1190
1414,804,1190
1415,804,394
1416,804,394
1417,570,1241
1418,58,386
1419,19,1029
1420,1055,1264
1421,1055,251
1422,1299,40
1423,1012,1162
1424,493,1162
1425,830,251
1426,828,1016
1427,3,893
1428,565,787
1429,565,1015
1430,333,467
1431,333,708
1432,333,550
1433,40,647
1434,40,853
1435,40,362
1436,40,362
1437,40,770
1438,476,386
1439,697,721
1440,697,721
1441,697,162
1442,1240,766
1443,9,33
1444,984,112
1445,20,753
1446,20,532
1447,1050,433
1448,208,713
1449,208,578
1450,208,833
1451,208,607
1452,1099,514
1453,1099,578
1454,1099,833
1455,181,353
1456,181,164
1457,181,730
1458,181,730
1459,181,579
1460,181,67
1461,181,447
1462,181,1154
1463,221,620
1464,221,1142
1465,221,803
1466,221,267
1467,456,422
1468,724,673
1469,724,535
1470,724,535
1471,724,1151
1472,921,155
1473,921,1350
1474,921,834
1475,1225,864
1476,769,1006
1477,1,264
1478,1302,1025
1479,993,1269
1480,993,970
1481,664,829
1482,664,286
1483,664,257
1484,452,155
1485,452,1226
1486,452,834
1487,792,695
1488,792,64
1489,792,985
1490,792,865
1491,792,865
1492,1246,195
1493,509,642
1494,509,642
1495,509,550
1496,898,1036
1497,1321,1036
1498,876,12
1499,747,39
1500,89,1212
1501,89,1015
1502,1049,1273
1503,1049,1273
1504,1242,444
1505,950,110
1506,950,243
1507,897,128
1508,897,265
1509,481,214
1510,481,1052
1511,430,1143
1512,591,1001
1513,881,22
1514,881,22
1515,1278,453
1516,222,171
1517,590,563
1518,590,391
1519,590,391
1520,590,1290
1521,1095,1190
1522,1095,1190
1523,352,543
1524,352,200
1525,1291,543
1526,1212,865
1527,281,1015
1528,1144,958
1529,686,1122
1530,686,1122
1531,1280,164
1532,1280,175
1533,501,48
1534,501,1053
1535,501,875
1536,280,374
1537,602,1074
1538,466,1091
1539,390,850
1540,173,641
1541,1111,1031
1542,716,617
1543,628,187
1544,1036,687
1545,1036,1288
1546,963,789
1547,1179,789
1548,657,953
1549,1185,1267
1550,1085,806
1551,504,784
1552,567,34
1553,8,611
1554,1190,1006
1555,1190,1006
1556,946,642
1557,946,642
1558,435,1047
1559,595,376
1560,595,942
1561,283,578
1562,283,833
1563,408,730
1564,408,730
1565,624,240
1566,21,519
1567,21,356
1568,1156,1327
1569,1156,209
1570,336,528
1571,527,1107
1572,292,1236
1573,761,1236
1574,1157,766
1575,301,1332
1576,301,1332
1577,695,985
1578,1094,100
1579,1307,508
1580,1133,293
1581,115,611
1582,115,420
1583,1074,1339
1584,1162,291
1585,1162,291
1586,1162,253
1587,199,334
1588,673,1151
1589,858,55
1590,858,55
1591,858,265
1592,858,361
1593,858,929
1594,858,250
1595,1350,72
1596,919,791
1597,896,1122
1598,368,1090
1599,611,418
1600,611,1171
1601,264,417
1602,787,796
1603,787,619
1604,787,224
1605,587,582
1606,17,223
1607,28,1166
1608,28,223
1609,443,467
1610,1066,457
1611,938,1308
1612,1226,72
1613,86,1224
1614,760,811
1615,958,100
1616,1269,102
1617,917,224
1618,917,224
1619,276,1122
1620,276,313
1621,22,343
1622,956,2
1623,670,642
1624,453,641
1625,112,667
1626,514,320
1627,164,1154
1628,164,175
1629,1298,721
1630,613,175
1631,730,386
1632,730,386
1633,730,67
1634,730,447
1635,1166,770
1636,247,497
1637,247,1221
1638,1122,176
1639,1122,1170
1640,1254,495
1641,1183,546
1642,467,1224
1643,975,883
1644,1236,650
1645,98,767
1646,286,866
1647,1314,606
1648,282,1214
1649,282,294
1650,282,1197
1651,708,550
1652,708,1224
1653,1167,240
1654,970,137
1655,970,1308
1656,970,102
1657,743,791
1658,246,589
1659,1336,589
1660,35,1338
1661,1171,550
1662,844,1308
1663,844,1219
1664,844,997
1665,766,1058
1666,1273,1308
1667,1273,1308
1668,1273,1308
1669,32,307
1670,64,865
1671,386,311
1672,174,767
1673,1306,875
1674,764,875
1675,550,617
1676,116,495
1677,759,497
1678,519,376
1679,279,1187
1680,1332,1286
1681,522,369
1682,522,890
1683,47,229
1684,1069,1006
1685,1069,1006
1686,985,824
1687,1080,1239
1688,1080,1239
1689,1006,53
1690,1006,53
1691,1006,53
1692,1006,53
1693,1006,53
1694,1006,1187
1695,436,465
1696,436,465
1697,128,250
1698,257,118
1699,696,727
1700,696,1031
1701,176,1170
1702,14,34
1703,845,1241
1704,535,806
1705,486,16
1706,1282,712
1707,350,491
1708,278,668
1709,85,667
1710,135,721
1711,930,291
1712,727,1031
1713,782,1090
1714,376,942
1715,157,72
1716,709,1132
1717,589,449
1718,589,171
1719,875,1272
1720,261,1228
1721,362,1047
1722,313,334
1723,1308,1219
1724,1308,997
1725,1308,444
1726,107,480
1727,107,494
1728,107,1200
1729,107,307
1730,789,294
1731,789,622
1732,789,814
1733,789,1197
1734,789,508
1735,1092,1017
1736,1092,351
1737,1092,293
1738,937,890
1739,721,391
1740,721,391
1741,721,813
1742,721,1290
1743,721,1330
1744,721,162
1745,291,253
1746,209,952
1747,108,689
1748,1249,706
1749,619,77
1750,617,791
