Bus_no,vn_kv,load_p_mw,max_gen_p_mw,min_gen_p_mw,price_1,price_2,x_pos,y_pos
740,220.0,89.08,,,,,0.6757094751,7.9017784801
745,220.0,,,,,,5.598083116,6.6467676499
747,220.0,136.6,,,,,-3.8038107313,-0.5414611639
748,220.0,,500.0,0.0,,,4.9578479474,-0.5832309232
755,380.0,,500.0,0.0,,,5.6498341622,7.5440617283
764,220.0,,,,,,-9.9938662573,4.1612456037
767,220.0,,,,,,-5.9799528747,-0.4321439199
770,220.0,91.0,,,,,-2.2506733937,6.4114809759
774,220.0,17.22,,,,,-3.3575845631,-0.7280282635
776,220.0,55.26,,,,,-3.5783959377,5.607899608
787,220.0,,500.0,0.0,,,6.1265436506,-0.1257043162
793,220.0,241.62,,,,,6.6868277546,2.1007497664
798,220.0,349.3,,,,,-1.9748526044,11.8434706923
801,220.0,138.01,,,,,-7.9705635306,1.9115466777
802,220.0,,,,,,7.4552191294,9.9357436956
803,220.0,,,,,,-2.775303531,0.6173437402
807,380.0,,,,,,-5.4441922886,-4.6376346546
817,220.0,,,,,,-9.1820114357,2.0666888139
821,380.0,,500.0,0.0,,,2.4831601644,7.61956902
837,380.0,124.8,,,,,-5.7565755695,7.6919186473
849,220.0,,,,,,1.7106249294,-2.3689550865
856,380.0,,500.0,0.0,,,-5.5863012811,7.2093235984
868,220.0,,500.0,0.0,,,2.8545028893,7.9904228315
869,220.0,71.88,,,,,10.1113005792,-6.5988954062
881,220.0,412.1,,,,,10.1197907356,-5.1910438512
889,380.0,221.25,,,,,3.0277884696,7.5769353262
890,220.0,,,,,,2.7459008994,1.7276240999
898,220.0,14.02,,,,,2.828871473,-6.7682006704
901,220.0,231.9,,,,,6.5047743364,-5.8344544145
903,380.0,,,,,,6.6883560864,8.2168783448
905,220.0,,,,,,6.5356801824,-9.3148940249
906,220.0,1769.94,,,,,8.3601969412,1.0972775928
918,220.0,,,,,,-2.0161959651,-7.2371357524
921,220.0,,500.0,0.0,,,-3.8072308028,-4.2625990691
931,220.0,,,,,,2.7347934273,-5.6528257085
933,220.0,20.52,,,,,-2.9736420891,2.1175101338
951,380.0,41.14,,,,,18.8699247344,5.7206781008
952,220.0,,,,,,0.1998152978,9.3082542811
958,380.0,61.65,,,,,10.4073248636,4.2005283234
962,380.0,37.94,,,,,-7.9951133888,0.6107587886
970,380.0,,500.0,0.0,,,-1.4978656848,9.6232071195
978,220.0,61.37,,,,,-1.0801855206,-3.8960001631
999,220.0,,500.0,0.0,,,4.9842324758,11.2262468515
1000,220.0,,,,,,-3.1994352949,7.1436661407
1003,220.0,,,,,,1.0798558006,-7.9340775945
1013,220.0,56.56,,,,,10.8448348993,6.9481473992
1024,220.0,339.90000000000003,,,,,-3.2616248066,0.6587058004
1025,380.0,,500.0,0.0,,,-2.7016907043,11.6935360634
1031,220.0,,,,,,-8.4188116144,7.2239583942
1033,220.0,,,,,,-6.404288249,2.536006592
1037,220.0,33.34,,,,,-9.1411977607,1.7092483868
1038,220.0,222.0,,,,,6.2936531395,12.6359815257
1041,380.0,,,,,,-0.6683892028,-1.4482748036
1049,220.0,18.62,,,,,-2.9775667807,11.2657520871
1075,220.0,,,,,,3.6803304301,0.619326596
1076,220.0,1.5,,,,,2.668098013,8.452041268
1079,380.0,105.67,,,,,0.522035523,3.7480853494
1081,220.0,65.67,,,,,8.8513088247,7.2808685771
1088,220.0,,500.0,0.0,,,6.472223494,-2.0549771068
1091,380.0,,500.0,0.0,,,3.0023390212,8.2198082582
1094,220.0,97.97,,,,,7.6820167356,6.093661261
1098,220.0,,,,,,4.8230638011,-3.8264316868
1099,220.0,,,,,,-2.296617475,0.5908572033
1100,220.0,40.85,,,,,11.2145237125,4.8786544131
1103,220.0,,,,,,-8.4198671151,6.8892436685
1109,220.0,,,,,,-7.41670201,0.2661241854
1127,220.0,207.9,,,,,11.6968306084,-5.2552715648
1134,220.0,,500.0,0.0,,,-3.1101578497,-1.4636866885
1135,220.0,169.5,,,,,6.163859361,8.9837777667
1144,220.0,,,,,,10.5568497322,2.1174108968
1149,220.0,36.94,,,,,13.9110271515,3.3297549621
1151,220.0,,,,,,1.5817748146,-10.2418826107
1154,220.0,,,,,,-3.0898755925,1.9218174403
1157,220.0,17.92,,,,,-6.0001078121,11.6866072581
1170,220.0,,,,,,3.6461952546,4.3404395349
1177,220.0,87.9,,,,,-8.9474522772,1.319463493
1181,220.0,,,,,,-1.289403134,11.233022673
1185,220.0,,,,,,13.2954940479,7.3600667615
1186,220.0,,,,,,2.1622682667,8.7458305
1192,380.0,196.1,,,,,14.0263663777,2.1023796499
1196,380.0,,,,,,7.1042683439,8.381954294
1199,220.0,,,,,,-3.7434432951,10.7874284694
1214,220.0,,,,,,0.5724871691,-4.457258571
1231,220.0,37.44,,,,,-7.8351794033,-6.3149743919
1232,220.0,93.60000000000001,,,,,-1.9081388935,5.3018790095
1235,380.0,72.68,,,,,-4.5130802768,0.4676638346
1246,220.0,31.43,,,,,11.2784791691,1.1392519433
1247,380.0,162.49,,,,,2.200809966,10.1132747728
1249,380.0,5.51,,,,,-10.559434322,2.2488900449
1260,220.0,,,,,,-8.0853792056,7.3369440441
1263,220.0,66.27,,,,,-5.8252937624,4.7934434096
1273,220.0,,500.0,0.0,,,-2.7634268617,9.7729613476
1293,220.0,,,,,,-2.1102519582,6.8483107145
1299,220.0,139.4,,,,,-1.1337827473,7.4013668779
1303,220.0,,500.0,0.0,,,5.4657400132,11.2683465794
1309,380.0,,500.0,0.0,,,4.7745851354,10.2218244228
1324,220.0,,500.0,0.0,,,-5.2525808789,7.7205070653
1332,220.0,245.51,,,,,16.6469471714,5.927061896
1339,220.0,7.71,,,,,1.9166761365,6.7450682362
1341,380.0,,500.0,0.0,,,7.4271902556,1.3220242839
1352,220.0,242.08,,,,,1.407995279,2.6078271107
1353,380.0,,,,,,-8.1008358278,4.2692362333
1362,220.0,,,,,,,
1378,220.0,,,,,,,
1392,220.0,,,,,,,
1395,220.0,,,,,,,
1396,220.0,,,,,,,
1399,220.0,,,,,,,
1412,220.0,,,,,,,
1413,220.0,,,,,,,
1420,220.0,,,,,,,
1433,220.0,,,,,,,
1434,220.0,,,,,,,
1446,220.0,,,,,,,
1457,220.0,,,,,,,
1460,220.0,,,,,,,
1463,380.0,,,,,,,
1476,220.0,,,,,,,
1481,220.0,,,,,,,
1484,220.0,,,,,,,
1492,380.0,,,,,,,
1500,380.0,,,,,,,
1502,220.0,,,,,,,
1524,220.0,,,,,,,
1536,220.0,,,,,,,
1537,220.0,,,,,,,
1539,220.0,,,,,,,
1543,220.0,,,,,,,
1545,220.0,,,,,,,
1549,220.0,,,,,,,
1550,380.0,,,,,,,
1552,220.0,,,,,,,
1554,220.0,,,,,,,
1560,220.0,,,,,,,
1564,220.0,,,,,,,
1566,220.0,,,,,,,
1576,220.0,,,,,,,
1582,220.0,,,,,,,
1590,220.0,,,,,,,
1593,220.0,,,,,,,
1602,220.0,,,,,,,
1603,220.0,,,,,,,
1605,380.0,,,,,,,
1607,220.0,,,,,,,
1623,220.0,,,,,,,
1627,220.0,,,,,,,
1640,380.0,,,,,,,
1641,220.0,,,,,,,
1642,380.0,,,,,,,
1660,220.0,,,,,,,
1670,220.0,,,,,,,
1678,380.0,,,,,,,
1690,220.0,,,,,,,
1702,220.0,,,,,,,
1706,380.0,,,,,,,
1707,380.0,,,,,,,
1709,220.0,,,,,,,
1719,220.0,,,,,,,
1728,380.0,,,,,,,
1740,220.0,,,,,,,
1744,220.0,,,,,,,
1748,220.0,,,,,,,
1752,380.0,,,,,,,
1756,380.0,,,,,,,
1761,380.0,,,,,,,
1765,220.0,,,,,,,
1766,220.0,,,,,,,
1773,220.0,,,,,,,
1792,380.0,,,,,,,
1796,380.0,,,,,,,
1801,220.0,,,,,,,
1806,220.0,,,,,,,
1811,220.0,,,,,,,
1815,380.0,,,,,,,
1831,220.0,,,,,,,
1836,220.0,,,,,,,
1842,220.0,,,,,,,
1849,220.0,,,,,,,
1850,220.0,,,,,,,
1855,220.0,,,,,,,
1858,220.0,,,,,,,
1864,220.0,,,,,,,
1866,220.0,,,,,,,
1874,380.0,,,,,,,
1881,220.0,,,,,,,
1886,220.0,,,,,,,
1893,220.0,,,,,,,
1894,380.0,,,,,,,
1908,220.0,,,,,,,
1912,220.0,,,,,,,
1915,220.0,,,,,,,
1921,380.0,,,,,,,
1938,220.0,,,,,,,
1957,220.0,,,,,,,
1963,220.0,,,,,,,
1971,220.0,,,,,,,
1977,220.0,,,,,,,
1978,220.0,,,,,,,
1996,220.0,,,,,,,
2010,220.0,,,,,,,
2017,220.0,,,,,,,
2018,220.0,,,,,,,
2019,220.0,,,,,,,
2033,380.0,,,,,,,
2040,220.0,,,,,,,
2041,220.0,,,,,,,
2042,220.0,,,,,,,
2048,380.0,,,,,,,
2054,380.0,,,,,,,
2055,220.0,,,,,,,
2070,380.0,,,,,,,
2076,220.0,,,,,,,
2077,220.0,,,,,,,
2081,220.0,,,,,,,
2083,380.0,,,,,,,
2086,220.0,,,,,,,
2087,220.0,,,,,,,
2091,380.0,,,,,,,
2099,380.0,,,,,,,
2126,220.0,,,,,,,
2127,380.0,,,,,,,
2130,220.0,,,,,,,
2140,220.0,,,,,,,
2153,220.0,,,,,,,
2159,220.0,,,,,,,
2164,220.0,,,,,,,
2172,380.0,,,,,,,
2175,220.0,,,,,,,
2181,380.0,,,,,,,
2187,220.0,,,,,,,
2195,380.0,,,,,,,
2206,220.0,,,,,,,
2227,220.0,,,,,,,
2228,220.0,,,,,,,
2229,220.0,,,,,,,
2240,220.0,,,,,,,
2250,220.0,,,,,,,
2271,220.0,,,,,,,
2274,220.0,,,,,,,
2284,220.0,,,,,,,
2286,220.0,,,,,,,
2289,220.0,,,,,,,
2301,220.0,,,,,,,
2302,220.0,,,,,,,
2306,220.0,,,,,,,
2311,220.0,,,,,,,
2317,220.0,,,,,,,
2325,220.0,,,,,,,
2326,220.0,,,,,,,
2335,220.0,,,,,,,
2338,220.0,,,,,,,
2339,220.0,,,,,,,
2357,380.0,,,,,,,
2358,220.0,,,,,,,
2359,220.0,,,,,,,
2363,380.0,,,,,,,
2370,380.0,,,,,,,
2375,220.0,,,,,,,
2391,220.0,,,,,,,
2404,220.0,,,,,,,
2419,220.0,,,,,,,
2422,220.0,,,,,,,
2423,220.0,,,,,,,
2424,220.0,,,,,,,
2428,220.0,,,,,,,
2430,220.0,,,,,,,
2436,220.0,,,,,,,
2444,380.0,,,,,,,
2455,220.0,,,,,,,
2456,380.0,,,,,,,
2465,220.0,,,,,,,
2466,220.0,,,,,,,
2473,220.0,,,,,,,
2477,380.0,,,,,,,
2479,220.0,,,,,,,
2487,220.0,,,,,,,
2501,220.0,,,,,,,
2508,220.0,,,,,,,
2516,380.0,,,,,,,
2524,380.0,,,,,,,
2525,220.0,,,,,,,
2533,220.0,,,,,,,
2548,220.0,,,,,,,
2556,220.0,,,,,,,
2561,220.0,,,,,,,
2573,220.0,,,,,,,
2589,220.0,,,,,,,
2595,220.0,,,,,,,
2596,220.0,,,,,,,
2598,220.0,,,,,,,
2625,380.0,,,,,,,
2627,220.0,,,,,,,
2639,220.0,,,,,,,
2642,220.0,,,,,,,
2651,220.0,,,,,,,
2652,220.0,,,,,,,
2654,380.0,,,,,,,
2674,220.0,,,,,,,
2687,220.0,,,,,,,
2693,220.0,,,,,,,
2700,220.0,,,,,,,
2717,220.0,,,,,,,
2719,380.0,,,,,,,
2730,380.0,,,,,,,
2747,220.0,,,,,,,
2749,220.0,,,,,,,
2752,220.0,,,,,,,
2768,220.0,,,,,,,
2780,220.0,,,,,,,
2784,380.0,,,,,,,
2792,220.0,,,,,,,
2793,220.0,,,,,,,
2795,220.0,,,,,,,
2797,220.0,,,,,,,
2799,220.0,,,,,,,
2804,220.0,,,,,,,
2813,220.0,,,,,,,
2814,380.0,,,,,,,
2839,220.0,,,,,,,
2840,220.0,,,,,,,
2845,220.0,,,,,,,
2846,380.0,,,,,,,
2848,220.0,,,,,,,
2852,380.0,,,,,,,
2861,220.0,,,,,,,
2864,220.0,,,,,,,
2870,220.0,,,,,,,
2875,220.0,,,,,,,
2876,220.0,,,,,,,
2884,220.0,,,,,,,
2886,220.0,,,,,,,
2887,220.0,,,,,,,
2896,220.0,,,,,,,
2900,220.0,,,,,,,
2908,220.0,,,,,,,
2916,380.0,,,,,,,
2917,380.0,,,,,,,
2922,220.0,,,,,,,
2926,220.0,,,,,,,
2928,220.0,,,,,,,
2929,220.0,,,,,,,
2932,220.0,,,,,,,
2936,380.0,,,,,,,
2938,220.0,,,,,,,
2947,220.0,,,,,,,
2959,220.0,,,,,,,
2965,220.0,,,,,,,
2966,220.0,,,,,,,
2970,220.0,,,,,,,
2978,380.0,,,,,,,
2979,220.0,,,,,,,
2983,220.0,,,,,,,
2993,220.0,,,,,,,
3011,220.0,,,,,,,
3016,220.0,,,,,,,
3017,220.0,,,,,,,
3019,220.0,,,,,,,
3020,380.0,,,,,,,
3026,380.0,,,,,,,
3034,220.0,,,,,,,
3035,220.0,,,,,,,
3042,220.0,,,,,,,
3049,220.0,,,,,,,
3067,220.0,,,,,,,
3068,220.0,,,,,,,
3069,220.0,,,,,,,
3070,220.0,,,,,,,
3073,220.0,,,,,,,
3080,380.0,,,,,,,
3081,220.0,,,,,,,
3083,220.0,,,,,,,
3110,220.0,,,,,,,
3112,220.0,,,,,,,
3119,220.0,,,,,,,
3124,220.0,,,,,,,
3131,220.0,,,,,,,
3132,220.0,,,,,,,
3135,220.0,,,,,,,
3143,380.0,,,,,,,
3164,220.0,,,,,,,
3181,220.0,,,,,,,
3182,220.0,,,,,,,
3185,220.0,,,,,,,
3189,220.0,,,,,,,
3198,220.0,,,,,,,
3202,220.0,,,,,,,
3203,380.0,,,,,,,
3216,220.0,,,,,,,
3219,220.0,,,,,,,
3229,220.0,,,,,,,
3237,380.0,,,,,,,
3238,220.0,,,,,,,
3239,220.0,,,,,,,
3241,380.0,,,,,,,
3244,220.0,,,,,,,
3246,220.0,,,,,,,
3253,220.0,,,,,,,
3274,220.0,,,,,,,
3291,220.0,,,,,,,
3304,220.0,,,,,,,
3322,220.0,,,,,,,
3323,220.0,,,,,,,
3325,220.0,,,,,,,
3329,220.0,,,,,,,
3342,220.0,,,,,,,
3344,380.0,,,,,,,
3351,220.0,,,,,,,
3362,220.0,,,,,,,
3375,220.0,,,,,,,
3388,220.0,,,,,,,
3389,220.0,,,,,,,
3398,220.0,,,,,,,
3399,220.0,,,,,,,
3410,220.0,,,,,,,
3420,220.0,,,,,,,
3428,220.0,,,,,,,
3433,220.0,,,,,,,
3434,220.0,,,,,,,
3443,380.0,,,,,,,
3448,220.0,,,,,,,
3479,220.0,,,,,,,
3481,380.0,,,,,,,
3483,380.0,,,,,,,
3484,220.0,,,,,,,
3486,220.0,,,,,,,
3490,220.0,,,,,,,
3494,220.0,,,,,,,
3496,220.0,,,,,,,
3497,380.0,,,,,,,
3500,220.0,,,,,,,
3501,220.0,,,,,,,
3511,380.0,,,,,,,
3517,380.0,,,,,,,
3518,220.0,,,,,,,
3524,220.0,,,,,,,
3533,220.0,,,,,,,
3539,220.0,,,,,,,
3541,380.0,,,,,,,
3543,220.0,,,,,,,
3555,220.0,,,,,,,
3556,220.0,,,,,,,
3563,220.0,,,,,,,
3575,380.0,,,,,,,
3577,220.0,,,,,,,
3578,220.0,,,,,,,
3587,220.0,,,,,,,
3592,220.0,,,,,,,
3599,220.0,,,,,,,
3600,220.0,,,,,,,
3606,380.0,,,,,,,
3607,220.0,,,,,,,
3608,220.0,,,,,,,
3609,220.0,,,,,,,
3611,380.0,,,,,,,
3641,220.0,,,,,,,
3643,220.0,,,,,,,
3647,220.0,,,,,,,
3652,220.0,,,,,,,
3654,220.0,,,,,,,
3655,220.0,,,,,,,
3659,380.0,,,,,,,
3668,220.0,,,,,,,
3670,220.0,,,,,,,
3672,220.0,,,,,,,
3678,220.0,,,,,,,
3695,380.0,,,,,,,
3696,220.0,,,,,,,
3699,220.0,,,,,,,
3705,220.0,,,,,,,
3716,220.0,,,,,,,
3735,220.0,,,,,,,
3738,220.0,,,,,,,
3739,380.0,,,,,,,
3747,220.0,,,,,,,
3756,220.0,,,,,,,
3758,220.0,,,,,,,
3766,220.0,,,,,,,
3773,220.0,,,,,,,
3784,220.0,,,,,,,
3791,220.0,,,,,,,
3792,380.0,,,,,,,
3807,220.0,,,,,,,
3812,220.0,,,,,,,
3815,220.0,,,,,,,
3816,220.0,,,,,,,
3823,380.0,,,,,,,
3828,380.0,,,,,,,
3832,220.0,,,,,,,
3853,220.0,,,,,,,
3855,220.0,,,,,,,
3863,220.0,,,,,,,
3864,220.0,,,,,,,
3867,380.0,,,,,,,
3874,220.0,,,,,,,
3878,220.0,,,,,,,
3892,220.0,,,,,,,
3901,220.0,,,,,,,
3904,380.0,,,,,,,
3910,220.0,,,,,,,
3914,220.0,,,,,,,
3916,380.0,,,,,,,
3917,380.0,,,,,,,
3923,220.0,,,,,,,
3926,220.0,,,,,,,
3927,220.0,,,,,,,
3949,220.0,,,,,,,
3954,220.0,,,,,,,
3960,220.0,,,,,,,
3967,220.0,,,,,,,
3969,220.0,,,,,,,
3973,220.0,,,,,,,
3983,220.0,,,,,,,
3992,220.0,,,,,,,
3995,220.0,,,,,,,
3997,220.0,,,,,,,
3998,380.0,,,,,,,
4003,220.0,,,,,,,
4022,380.0,,,,,,,
4023,220.0,,,,,,,
4029,220.0,,,,,,,
4030,220.0,,,,,,,
4037,220.0,,,,,,,
4047,220.0,,,,,,,
4052,220.0,,,,,,,
4054,220.0,,,,,,,
4058,220.0,,,,,,,
4082,220.0,,,,,,,
4098,220.0,,,,,,,
4101,220.0,,,,,,,
4108,220.0,,,,,,,
4112,220.0,,,,,,,
4116,220.0,,,,,,,
4123,380.0,,,,,,,
4125,220.0,,,,,,,
4126,220.0,,,,,,,
4132,220.0,,,,,,,
4139,380.0,,,,,,,
4141,220.0,,,,,,,
4142,220.0,,,,,,,
4155,220.0,,,,,,,
4183,220.0,,,,,,,
4184,220.0,,,,,,,
4187,220.0,,,,,,,
4194,380.0,,,,,,,
4195,220.0,,,,,,,
4203,220.0,,,,,,,
4213,220.0,,,,,,,
4229,380.0,,,,,,,
4232,220.0,,,,,,,
4233,220.0,,,,,,,
4237,220.0,,,,,,,
4243,220.0,,,,,,,
4249,220.0,,,,,,,
4265,220.0,,,,,,,
4279,220.0,,,,,,,
4298,220.0,,,,,,,
4299,220.0,,,,,,,
4304,380.0,,,,,,,
4311,220.0,,,,,,,
4312,220.0,,,,,,,
4322,220.0,,,,,,,
4329,220.0,,,,,,,
4337,380.0,,,,,,,
4351,220.0,,,,,,,
4353,220.0,,,,,,,
4355,220.0,,,,,,,
4366,220.0,,,,,,,
4393,220.0,,,,,,,
4400,220.0,,,,,,,
4408,220.0,,,,,,,
4416,220.0,,,,,,,
4417,380.0,,,,,,,
4424,220.0,,,,,,,
4430,220.0,,,,,,,
4433,380.0,,,,,,,
4452,220.0,,,,,,,
4478,220.0,,,,,,,
4480,220.0,,,,,,,
4482,220.0,,,,,,,
4489,220.0,,,,,,,
4492,380.0,,,,,,,
4502,220.0,,,,,,,
4503,220.0,,,,,,,
4504,220.0,,,,,,,
4509,220.0,,,,,,,
4511,220.0,,,,,,,
4518,220.0,,,,,,,
4523,220.0,,,,,,,
4527,220.0,,,,,,,
4539,380.0,,,,,,,
4542,220.0,,,,,,,
4547,220.0,,,,,,,
4548,380.0,,,,,,,
4552,220.0,,,,,,,
4560,220.0,,,,,,,
4564,220.0,,,,,,,
4578,220.0,,,,,,,
4592,380.0,,,,,,,
4596,380.0,,,,,,,
4613,220.0,,,,,,,
4621,380.0,,,,,,,
4622,220.0,,,,,,,
4654,220.0,,,,,,,
4659,220.0,,,,,,,
4672,220.0,,,,,,,
4677,220.0,,,,,,,
4681,220.0,,,,,,,
4683,220.0,,,,,,,
4687,220.0,,,,,,,
4699,380.0,,,,,,,
4708,220.0,,,,,,,
4709,220.0,,,,,,,
4723,220.0,,,,,,,
4726,220.0,,,,,,,
4727,220.0,,,,,,,
4732,380.0,,,,,,,
4736,220.0,,,,,,,
4745,220.0,,,,,,,
4746,220.0,,,,,,,
4763,220.0,,,,,,,
4781,220.0,,,,,,,
4785,380.0,,,,,,,
4814,220.0,,,,,,,
4817,380.0,,,,,,,
4821,220.0,,,,,,,
4824,220.0,,,,,,,
4827,220.0,,,,,,,
4829,220.0,,,,,,,
4848,220.0,,,,,,,
4850,220.0,,,,,,,
4862,220.0,,,,,,,
4865,220.0,,,,,,,
4872,220.0,,,,,,,
4878,220.0,,,,,,,
4883,220.0,,,,,,,
4887,220.0,,,,,,,
4905,220.0,,,,,,,
4906,220.0,,,,,,,
4912,220.0,,,,,,,
4916,220.0,,,,,,,
4923,220.0,,,,,,,
4934,220.0,,,,,,,
4937,220.0,,,,,,,
4940,220.0,,,,,,,
4948,220.0,,,,,,,
4949,220.0,,,,,,,
4950,220.0,,,,,,,
4968,380.0,,,,,,,
4972,220.0,,,,,,,
5000,220.0,,,,,,,
5001,220.0,,,,,,,
5002,220.0,,,,,,,
5005,380.0,,,,,,,
5014,380.0,,,,,,,
5017,220.0,,,,,,,
5047,220.0,,,,,,,
5049,220.0,,,,,,,
5065,380.0,,,,,,,
5075,220.0,,,,,,,
5081,220.0,,,,,,,
5091,220.0,,,,,,,
5097,220.0,,,,,,,
5104,220.0,,,,,,,
5108,220.0,,,,,,,
5118,220.0,,,,,,,
5129,220.0,,,,,,,
5135,220.0,,,,,,,
5142,380.0,,,,,,,
5144,220.0,,,,,,,
5172,220.0,,,,,,,
5177,220.0,,,,,,,
5180,220.0,,,,,,,
5210,220.0,,,,,,,
5211,220.0,,,,,,,
5213,220.0,,,,,,,
5231,220.0,,,,,,,
5235,220.0,,,,,,,
5239,380.0,,,,,,,
5254,220.0,,,,,,,
5255,220.0,,,,,,,
5268,220.0,,,,,,,
5276,220.0,,,,,,,
5284,220.0,,,,,,,
5286,380.0,,,,,,,
5295,220.0,,,,,,,
5298,220.0,,,,,,,
5306,380.0,,,,,,,
5315,220.0,,,,,,,
5332,220.0,,,,,,,
5338,220.0,,,,,,,
5339,220.0,,,,,,,
5348,380.0,,,,,,,
5349,220.0,,,,,,,
5352,220.0,,,,,,,
5360,220.0,,,,,,,
5363,220.0,,,,,,,
5377,380.0,,,,,,,
5381,220.0,,,,,,,
5386,220.0,,,,,,,
5391,220.0,,,,,,,
